"x","y","heading","dx","dy","dtheta"
"1.4318007230758516","5.557066917419431","-7.815452561214625E-17","8.248914998469024E-14","6.460058238928313E-16","5.9416442393504005E-18"
"1.446151434148898","5.557178439959029","3.373717823636004E-5","0.15709416489863537","0.0012302678147841264","3.6931384931843255E-4"
"1.4605021414513208","5.557290446651112","6.747435647279824E-5","0.31418832979718825","0.002460535629567607","7.386276986368591E-4"
"1.4748528449667877","5.557402937495457","1.0121153470923643E-4","0.4712824946957411","0.003690803444351087","0.0011079415479552856"
"1.4892035446789635","5.557515912491987","1.3494871294567466E-4","0.628376659594294","0.004921071259134568","0.0014772553972737122"
"1.5097602416383025","5.557675718220922","1.8327557769812742E-4","0.7854708218420106","0.006151339053158301","0.0018465691652944961"
"1.538461670187099","5.557897873549271","2.507499169977291E-4","0.942564980610775","0.0073816068199369835","0.0022158828266204203"
"1.5671630836807755","5.558121965487104","3.182242562973308E-4","1.0996591393795396","0.008611874586715668","0.0025851964879463458"
"1.5958644819886612","5.558347994033279","3.856985955969324E-4","1.2567532981483038","0.00984214235349435","0.0029545101492722704"
"1.6245658649800843","5.558575959186838","4.53172934896534E-4","1.4138474569170683","0.011072410120273032","0.0033238238105981945"
"1.665679288778038","5.558891537361869","5.498266189117762E-4","1.570941605082479","0.012302677804012575","0.003693137161950453"
"1.7087314309436912","5.559224691959833","6.51038086535162E-4","1.7280357515916567","0.013532945474781486","0.004062450464885144"
"1.7517835391697711","5.559562203926513","7.522495541585479E-4","1.8851298981008342","0.014763213145550395","0.004431763767819834"
"1.7948356130152618","5.559904073258558","8.534610217819337E-4","2.0422240446100117","0.015993480816319308","0.004801077070754525"
"1.8421549608242647","5.560275648733345","9.647043517059657E-4","2.199318180182838","0.017223748401441235","0.00517039008415715"
"1.8995578606075738","5.560713678868969","0.0010996528587053453","2.3564122899131883","0.018454015784180305","0.005539702413398781"
"1.9569607007566852","5.56115945543623","0.0012346013657047249","2.513506399643539","0.019684283166919374","0.005909014742640413"
"2.0143634802262307","5.561612978426933","0.0013695498727041048","2.6706005093738896","0.020914550549658448","0.006278327071882045"
"2.0717661979708413","5.562074247832929","0.0015044983797034839","2.82769461910424","0.022144817932397514","0.006647639401123675"
"2.124295880187161","5.562492523197412","0.001516339334715723","2.816795978477864","0.022059466278526847","0.0053997926704973075"
"2.1750214595024047","5.5628915794698495","0.001482602547517714","2.743701882370826","0.021487036908223664","0.003553229958975391"
"2.2257470522516583","5.56328892442386","0.0014488657603197056","2.6706077862637883","0.020914607537920484","0.0017066672474534798"
"2.276472658377187","5.563684558059156","0.0014151289731216966","2.5975136901567506","0.0203421781676173","-1.3989546406843745E-4"
"2.3248697554162927","5.564061778724936","0.001375918028874741","2.5107899542638323","0.01966300958668532","-0.0017467638146725108"
"2.361244618300566","5.564350625001433","0.0013084437934454886","2.3536958445336666","0.018432742203947697","-0.0021160806195679384"
"2.397619500591717","5.564637016911299","0.0012409695580162365","2.196601734803501","0.017202474821210074","-0.0024853974244633667"
"2.4339944021241413","5.564920954453033","0.001173495322586984","2.039507625073335","0.01597220743847245","-0.0028547142293587954"
"2.4703693227322296","5.565202437625551","0.0011060210871577313","1.8824135153431691","0.014741940055734827","-0.003224031034254224"
"2.498209718352145","5.565421030201069","0.001018482945906008","1.725319383740378","0.013511672501703846","-0.0035933471612283703"
"2.5202338890940688","5.565596161083434","9.172713663783758E-4","1.5682252372315173","0.012281404830937419","-0.003962662826202997"
"2.5422580774484604","5.56576906286384","8.160597868507427E-4","1.411131090722656","0.011051137160170985","-0.004331978491177625"
"2.564282283189709","5.565939735540445","7.1484820732311E-4","1.2540369442137944","0.009820869489404551","-0.004701294156152254"
"2.5859167303603234","5.5661053295741505","6.12720301314714E-4","1.0969427973719539","0.008590601816030455","-0.005070609811130278"
"2.593590203749753","5.566167242776881","4.777714113108847E-4","0.9398486386034609","0.007360334049255117","-0.005439925108049878"
"2.601263685424428","5.566228120452338","3.4282252130705515E-4","0.7827544798349679","0.006130066282479777","-0.005809240404969478"
"2.608937175244607","5.566287962599408","2.078736313032257E-4","0.625660321066475","0.00489979851570444","-0.006178555701889079"
"2.6166106730705447","5.566346769217006","7.292474129939696E-5","0.46856616229798287","0.003669530748929107","-0.006547870998808677"
"2.616557193802285","5.56481085642486","-8.021943389183235E-5","0.31295680083914235","-0.011573618301788963","-0.006913953729168628"
"2.607418298689341","5.561402057984392","-2.547566711865219E-4","0.1590931861893953","-0.0432923782851345","-0.007276235777294035"
"2.5982788087533395","5.557994854673336","-4.292939084812115E-4","0.005229571539648203","-0.07501113826848003","-0.007638517825419444"
"2.589138724272699","5.554589246595492","-6.03831145775901E-4","-0.1486340431100988","-0.10672989825182556","-0.008000799873544852"
"2.5799980455258518","5.5511852338546115","-7.783683830705906E-4","-0.3024976577598459","-0.13844865823517113","-0.00836308192167026"
"2.570856772791257","5.547782816554384","-9.529056203652793E-4","-0.45636127240959207","-0.1701674182185165","-0.008725363969795667"
"2.544927907976063","5.541154999624799","-0.0011589456898613534","-0.6106644378891746","-0.19967344104616508","-0.009015151509359148"
"2.5189279802311426","5.5345191374367975","-0.0013651165520560074","-0.7649694282852861","-0.2291702770850833","-0.009304638067971254"
"2.4929266849173835","5.527888635817318","-0.0015712874142506618","-0.9192744186813977","-0.25866711312400154","-0.009594124626583359"
"2.466924023140013","5.52126349504818","-0.0017774582764453154","-1.0735794090775093","-0.28816394916291976","-0.009883611185195464"
"2.440919996004308","5.5146437154110055","-0.0019836291386399695","-1.2278843994736208","-0.317660785201838","-0.010173097743807568"
