"x","y","heading","dx","dy","dtheta"
"0.0","0.0","0.0","1.2225331658379663E-34","0.0","4.5868296429549525E-8"
"-8.300274122156684E-4","-0.009884862715429567","9.173659341261842E-10","-0.01054173956423222","-0.12554242007450106","4.58682964998491E-8"
"-0.0016600548334993748","-0.019769725430097695","1.8347318682523684E-9","-0.02108347912846444","-0.2510848401490021","4.586829657014867E-8"
"-0.002490082250249062","-0.029654588145146543","2.7520978023785526E-9","-0.031625218692696654","-0.3766272602235031","4.586829664044824E-8"
"-0.0033725161770589776","-0.040163565012035676","3.669463667953705E-9","-0.04216695822623556","-0.5021696799324751","4.5868295835678764E-8"
"-0.005032570962068855","-0.05993328998715489","4.58682851635301E-9","-0.05270869730434013","-0.627712094217643","4.586828204643516E-8"
"-0.006692625767541094","-0.07970301496055589","5.504193364752314E-9","-0.0632504363824447","-0.7532545085028108","4.586826825719156E-8"
"-0.00835268056276408","-0.09947273993481752","6.42155821315162E-9","-0.07379217546054925","-0.8787969227879787","4.586825446794795E-8"
"-0.010117548368296238","-0.12049069309764869","7.338922650327399E-9","-0.08433391441588042","-1.0043393356110284","4.586823719723245E-8"
"-0.01260763046565646","-0.15014527941943162","8.25628424220069E-9","-0.09487565252172846","-1.1298817383175153","4.586819583781568E-8"
"-0.015097712562799785","-0.17979986574123277","9.173645834073981E-9","-0.10541739062757649","-1.2554241410240023","4.586815447839891E-8"
"-0.017587794659943104","-0.20945445206303387","1.0091007425947271E-8","-0.11595912873342452","-1.3809665437304894","4.586811311898213E-8"
"-0.02023509622872459","-0.2409813801496609","1.1008367181161201E-8","-0.12650086628679058","-1.5065089398574243","4.586805626722413E-8"
"-0.023555205398779228","-0.2805208250839188","1.1925719076557801E-8","-0.13704260147586017","-1.6320513078277634","4.586793311739546E-8"
"-0.026875314568183192","-0.32006027001823134","1.28430709719544E-8","-0.14758433666492976","-1.7575936757981023","4.586780996756679E-8"
"-0.030195423737587143","-0.3595997149525437","1.3760422867350997E-8","-0.1581260718539993","-1.8831360437684408","4.5867686817738124E-8"
"-0.03353584934047768","-0.3993811135063896","1.4446094332294274E-8","-0.16626348698957014","-1.980045171815643","4.2925143998680516E-8"
"-0.036936403700237375","-0.4398785875065662","1.4446094346589958E-8","-0.1672851797670729","-1.992212592864019","3.127434231172222E-8"
"-0.040336958059997055","-0.4803760615067427","1.4446094360885643E-8","-0.16830687254457566","-2.004380013912395","1.962354062476396E-8"
"-0.04373751241975675","-0.5208735355069193","1.4446094375181327E-8","-0.1693285653220784","-2.016547434960771","7.972738937805667E-9"
"-0.04713806677951646","-0.5613710095070962","1.4446094383622872E-8","-0.1700277179879848","-2.0248737000088317","6.40433892421374E-16"
