"x","y","heading","dx","dy","dtheta"
"0.0","0.0","2.893879992945195E-21","5.995098096748623E-21","-3.513090670125767E-22","1.361865255343794E-21"
"0.0041682779425396","-1.7746224627490648E-4","0.009120472369528808","0.0798055666922473","-0.0028100529874020472","0.1745735450520858"
"0.008338001038389553","-3.1690097492997893E-4","0.018240944739057616","0.1596111333844946","-0.0056201059748040945","0.3491470901041716"
"0.014138618911827106","-5.627710872770919E-4","0.030781996506435448","0.23972822655502884","-0.008441128195898085","0.5214963974532912"
"0.02251756461052512","-9.207859575894872E-4","0.048723281090465656","0.3203371415240454","-0.01127946807253137","0.690334194020598"
"0.030901584699352558","-0.0011284222242711195","0.06666456567449584","0.4009460564930619","-0.014117807949164658","0.8591719905879049"
"0.042587266067555696","-0.0017368624091345097","0.09108812483085384","0.4824551119868741","-0.016987842890135222","1.0211404399768431"
"0.05524176183895069","-0.0021926187592526958","0.11738748564625245","0.564224644736153","-0.019867049558345028","1.1811210789622053"
"0.06860815048472801","-0.0025315300158057497","0.14494174003298443","0.646256092305306","-0.0227554785722199","1.3389877637113252"
"0.08560426736738114","-0.003502012100720542","0.17892309194500208","0.7296289700396169","-0.025691141006008063","1.486027562140608"
"0.10262354415866648","-0.0038944940335152722","0.21290444385701984","0.813001847773928","-0.02862680343979623","1.633067360569891"
"0.1220739337615675","-0.00479643380634176","0.2506393392467973","0.8974606010834356","-0.03160070089941656","1.7709135883160108"
"0.14354076040116448","-0.005775941671308793","0.291431195228942","0.9828037130959286","-0.034605737725853764","1.9012723889287848"
"0.16502967424397408","-0.0058792058392187485","0.33222305121108675","1.0681468251084216","-0.03761077455229097","2.031631189541559"
"0.19074602444605304","-0.007671919506495151","0.37851804398113825","1.155415423511085","-0.040683610142738774","2.144927485628637"
"0.2167979743576418","-0.00842764701015497","0.4251710010648882","1.2428092696480415","-0.0437608558612579","2.257113911480262"
